NR_VOTAVEL;NM_VOTAVEL;NM_URNA;SG_PARTIDO;RESULTADO;TOTAL_VOTOS
23030;Rhayssa Alves Felipe Dos Santos;Rhayssa Alves;CIDADANIA;N?O ELEITO;170
27456;Marcos Ant?nio De Oliveira;Marcos Petts;DC;N?O ELEITO;170
22016;Givaldo De Ara?jo Santiago;Sub Oficial Santiago;PL;SUPLENTE;167
25022;Jose Carlos Soares Penha;Dr Penha;PRD;SUPLENTE;166
33633;Claudia Cristina Avelina De Araujo;Claudia Araujo;MOBILIZA;N?O ELEITO;165
33652;Jerry Araujo Tavares;Jerry Pagodinho;MOBILIZA;N?O ELEITO;165
33699;Aecio Da Costa;Aecio Kibiriba;MOBILIZA;N?O ELEITO;165
43043;Maria Da Gra?a De Vasconcelos;Gra?a Vasconcelos Pelo Verde;PV;SUPLENTE;165
11100;Jairo Jose Francisco Metodio;Jairo Met?dio;PP;SUPLENTE;164
11107;Walter De Oliveira Farias;Waltinho Do Bongi;PP;SUPLENTE;164
65111;Maria Jos? Da Silva Albuquerque;Maria Pagodinho;PC do B;SUPLENTE;163
27140;Ivaldo Jose Galdino Da Silva;Madeira;DC;N?O ELEITO;162
30700;Mattheus Mauricio Araujo Pereira;Mattheus Araujo;NOVO;SUPLENTE;161
33888;Lucas Gonzalis Martins Junior;Lucas Junior;MOBILIZA;N?O ELEITO;153
13233;Givanildo Am?ncio Da Silva;Maestro Gil Juntospelacultura;PT;SUPLENTE;151
70664;Luzitania Maria De Lima;Tania Mae De Jo?o;AVANTE;SUPLENTE;151
18777;Elias Jos? Dos Santos;Elias Santos;REDE;SUPLENTE;149
50540;Edvaldo Dos Santos Sales;Edvaldo J?nior;PSOL;SUPLENTE;147
50550;Marilene Dos Santos;Marilene Santos;PSOL;SUPLENTE;147
10915;Neuza Maria Do Nascimento Fran?a;Professora Neuza;REPUBLICANOS;SUPLENTE;145
25100;Adalice Da Silva Rodrigues;Adalice De Adilson Bito;PRD;SUPLENTE;144
55111;Ros?ngela Brasil Galindo De Melo;Rosinha De Carlos Rodolfo;PSD;SUPLENTE;144
43190;Mario Rene De Fran?a;Ren?;PV;SUPLENTE;143
15556;Leonardo Farias Silva;Leo Frete;MDB;SUPLENTE;142
10700;Paulo Henrique Barbosa Da Silva;Paulo Neto Da Sa?de;REPUBLICANOS;SUPLENTE;141
50504;Victor De Queiroz Barros De Souza;Victor Souza;PSOL;SUPLENTE;141
50666;Izaias Aleixo De Souza;Izaias Bahia;PSOL;SUPLENTE;139
27111;Tarciana Ferreira Do Nascimento;Tarciana;DC;N?O ELEITO;135
33001;Edvaldo Gomes Da Silva;Edvaldo Comerciante;MOBILIZA;N?O ELEITO;135
70444;Jefferson Alves De Souza;Pastor Jefferson;AVANTE;SUPLENTE;134
33100;Luciano Oliveira Brito;Luciano Brito;MOBILIZA;N?O ELEITO;133
55777;Andreza Salvador Borges;Andreza Salvador;PSD;SUPLENTE;132
11001;Hosana Guilherme Dos Santos;Hosana Jane;PP;SUPLENTE;129
33031;Elton Pereira Da Silva;Elton Pereira;MOBILIZA;N?O ELEITO;129
22020;Cleidijane Maria Da Silva;Cleidjane Da Enfermagem;PL;SUPLENTE;126
33111;Edivaldo Valentin Da Silva;Edivaldo Valentin;MOBILIZA;N?O ELEITO;126
70107;Maria Emilia Da Silva;Mila Do Mercado;AVANTE;SUPLENTE;125
45508;Jos? Rogney Da Costa;Cear? Das Praias;PSDB;N?O ELEITO;124
70200;Danierica Meira De Gusm?o;Dani Gusm?o;AVANTE;SUPLENTE;122
10101;Bruna Leal Paes Barreto;Bruna Paes Barreto;REPUBLICANOS;SUPLENTE;121
15190;Ana Claudia Gomes Aires;Coronel Claudia;MDB;SUPLENTE;121
11190;Karla Veronica Silva;Karla Sanfoneira;PP;SUPLENTE;119
70300;Maria Do Socorro Ribeiro Da Silva Barboza;Irm? Socorro;AVANTE;SUPLENTE;119
13998;Josefa Barbosa Da Silva;Josy Barbosa;PT;SUPLENTE;117
50500;Weldjane Mary R?gis De Ara?jo;Weldjane Mary;PSOL;SUPLENTE;117
25106;Maria Cle?nia De Oliveira;Dona L?o;PRD;SUPLENTE;116
18050;Rui De Albuquerque Filho;Rui;REDE;SUPLENTE;115
30231;Paulo Belence Alves Dos Prazeres;Paulo Belence;NOVO;SUPLENTE;115
